name	calories	carbohydrate_content	fat_content	fiber_content	protein_content
Celeriac, raw	42	9.2	0.3	1.8	1.5
Pecans	691	14	72	9.6	9.2
Cherries, dried, Waitrose	333	75.1	0.8	3.7	2.2
Soft goats cheese	247	3.7	20.5	0.5	11.6
Parsnips, raw	75	18	0.3	4.9	1.2
Mustard, Dijon Originale, Maille	150	3.5	11	0	7
Mackerel, smoked, Waitrose, essential	325	0.1	26.9	0.5	20.5
Cream cheese, Philadelphia original	225	4.3	21	0.2	5.4
Swede	13	2.3	0.1	0.7	0.3
Brussels sprouts	43	9	0.3	3.8	3.4
Taleggio cheese	315	0.9	26.2	0	19
Cornflour, Waitrose	354	88	0	0	0
Water, distilled	0	0.0	0.0	0.0	0.0
Rosemary, fresh	99	13.5	4.4	12.4	1.4
Cloves, dried	N	N	20.1	""	6.0
Limes, flesh only	9	0.8	0.3	""	0.7
Oranges, flesh only	36	8.2	0.2	1.2	0.8
Sugar, icing	393	104.9	0.0	0.0	Tr
Raisins	272	69.3	0.4	N	2.1
Worcestershire sauce	113	28.3	0.1	Tr	1.4
Sesame seeds	598	0.9	58.0	N	18.2
Asparagus, raw	25	2.0	0.6	N	2.9
Peas, raw	83	11.3	1.5	5.3	6.9
Cornmeal, sifted	368	73.1	3.3	""	9.4
Strawberries, raw	30	6.1	0.5	3.8	0.6
Cheese, white, average	381	0.1	31.8	0.0	23.7
Saffron	310	61.5	5.9	""	11.4
Cheese, goats milk, full fat, soft, white rind	320	1.0	25.8	0.0	21.1
Rocket, raw	18	Tr	0.4	1.7	3.6
Cranberries	15	3.4	0.1	""	0.4
Mussels, raw	74	2.5	1.8	0.0	12.1
Raspberries, raw	25	4.6	0.3	N	1.4
Rice, white, Italian Arborio risotto, raw	354	85.2	1.0	1.4	6.4
Pears, raw, flesh and skin	43	10.9	0.1	2.7	0.3
Blueberries	40	9.1	0.2	1.5	0.9
Horseradish, raw	62	11.0	0.3	""	4.5
Gelatine	338	0.0	0.0	0.0	84.4
Tomato ketchup	115	28.6	0.1	0.9	1.6
Jerusalem Artichokes	73	17	0	1.6	2
Tofu, Tofoo brand	100	1.1	5.4	0.5	11.5
Rhubarb	21	4.5	0.2	1.8	0.9
Coconut cream, Waitrose	210	3.9	21	0	1.3
Allspice, ground	N	N	8.7		6.1
Almonds, ground	645	6.9	55.8	7.4	25.5
Almonds, toasted	621	7	56.7		21.2
Anchovies, canned in oil, drained	191	0	10	0	25.2
Artichoke, globe, base of leaves and heart, boiled in unsalted water	18	2.7	0.2		2.9
Aubergine, raw	20	2.2	0.4	2	0.9
Apples, eating, raw, flesh and skin	51	11.6	0.5	1.2	0.6
Yogurt, low fat, fruit	78	13.7	1.1	0.3	4.2
Bacon rashers, streaky, raw	276	0	23.6		15.8
Baking powder	163	37.8	0	0	5.2
Bananas, flesh only	81	20.3	0.1	1.4	1.2
Borlotti beans, canned, Waitrose	100	12.9	0.6	7.7	6.9
Barley, pearl, raw	352	78	1.2	16	9.9
Basil, fresh	23	2.7	0.8	1.6	3.2
Bass, sea, flesh only, baked	154	0	6.8	0	23.2
Bay leaf, dried	313	48.6	8.4		7.6
Beans, broad, whole, raw	73	7.2	1	6.1	5.7
Beans, chick peas, canned, re-heated, drained	122	16.5	1.4	6.1	7.7
Beans, green, raw	31	3.1	0.4	3.4	2.1
Beans, haricot, whole, dried, boiled in unsalted water	95	17.2	0.5		6.6
Beansprouts, mung, raw	50	1.4	3.7	1.7	1.9
Beef, braising steak, raw, lean and fat	160	0	8.6		20.7
Beetroot, raw	54	9.5	0.1	2.8	2.3
Bicarbonate of soda	0	0	0		0
Blackcurrants, raw	34	10.2	0	3.6	0.9
Bread, white, premium	230	47	2.3	2.8	8.3
Broccoli, green, raw	34	3.2	0.6	4	4.3
Butter, salted	744	0.6	82.2	0	0.6
Butter, unsalted	744	0.6	82.2	0	0.6
Cabbage, average, raw	26	4.4	0.2	3.5	1.8
Cabbage, Chinese, raw	12	1.4	0.2		1
Cabbage, red, raw	21	3.7	0.3	2.9	1.1
Caraway seeds	N	N	14.6		19.8
Cardamom, ground	N	N	6.7		10.8
Carrots, old, raw	34	7.7	0.4	3.9	0.5
Carrots, young, raw	30	6	0.5	N	0.7
Cashew nuts, kernel only, plain	582	17.8	45.7	7.7	20.9
Cauliflower, raw	38	3	0.9	1.8	3.6
Celery, raw	10	0.9	0.2	1.1	0.5
Chard, Swiss, raw	24	2.9	0.2	1.6	1.8
Cheese, Stilton, blue	410	0.1	35.0	0.0	23.7
Cheese, Cheddar, English	416	0.1	34.9	0	25.4
Cheese, Feta	250	1.5	20.2	0	15.6
Cheese, Gruyere	409	Tr	33.3		27.2
Cheese, Halloumi	313	1.7	23.5	0	23.9
Cheese, Mozzarella, fresh	257	Tr	20.3	0	18.6
Cheese, Paneer	328	0.9	24.5	0	26
Cheese, Parmesan, fresh	415	0.9	29.7	0	36.2
Cheese, Ricotta	144	2	11		9.4
Chestnuts, kernel only, raw	176	33.3	1.6	5.9	4.1
Chicken, meat, average, raw	108	0	2.1	0	22.3
Chilli powder	N	N	14.3	34.8	13.5
Chives, fresh	27	1.9	0.7	2.5	3.3
Chorizo	395	2.4	32.2	1	24
Cider, dry	36	2.6	0	0	Tr
Cinnamon, ground	N	N	1.2	53.1	4
Coconut milk, canned	180	3.4	18	0	1.1
Coconut, desiccated	632	6.1	62	13.7	5.6
Cod, flesh only, raw	75	0.0	0.6	0.0	17.5
Coriander leaves, fresh	18	1.2	0.5	2.8	2.1
Coriander seeds	N	N	17.8	41.9	12.4
Courgette, raw	20	1.8	0.4	1.1	1.8
Couscous, plain, cooked	178	37.5	1	2.2	7.2
Couscous, plain, raw	364	79.2	2.1	3.7	12
Cream, fresh, double, including Jersey cream	496	1.7	53.7	0	1.6
Cream, fresh, single	193	2.2	19.1	0	3.3
Creme fraiche, full fat	378	2.4	40	0	2.2
Cucumber, raw, flesh and skin	14	1.2	0.6	0.7	1
Cumin seeds	N	N	22.3	10.5	17.8
Curly kale, raw	41	1.4	1.6	3.6	3.4
Currants	303	70.5	0.7	3.1	2
Curry powder	233	26.1	10.8	N	9.5
Dates, dried, flesh and skin	295	68	0.2	4	3.3
Dill, fresh	25	0.9	0.8		3.7
Eggs, chicken, whole, raw	131	0	9	0	12.6
Eggs, chicken, yolk, raw	347	0	31.3	0	16.4
Fennel seeds	N	N	14.9		15.8
Fennel, Florence, raw	31	7.3	0.2	3.1	1.2
Flour, gram	387	58	6.7	11	22
Flour, wheat, white, plain, soft	352	80.9	1.4	4	9.1
Garam masala	379	45.2	15.1	N	15.6
Garlic, raw	102	16.3	0.6	2.1	7.9
Ghee, butter	878	Tr	97.6	0	0.1
Gherkins, pickled, drained	14	2.6	0.1	1.5	0.9
Ginger, fresh	44	8.1	0.8	2	1.8
Gooseberries, cooking, raw	19	3	0.4		1.1
Hazelnuts, kernel only	650	6	63.5	6.9	14.1
Honey	288	76.4	0	0	0.4
Lamb, lean only, raw, average	153	0	8	0	20.2
Flaxseed	508	3	40	23.7	22.1
Leeks, raw	23	2.9	0.5	0	1.6
Lemon juice, fresh	7	1.6	Tr	N	0.3
Lemon peel	N	N	0.3	10.6	1.5
Lemons, peeled, flesh only	14	2.2	0.3		0.8
Lemons, whole, without pips	19	3.2	0.3	N	1
Lentils, green and brown, whole, dried, boiled in unsalted water	105	16.9	0.7	N	8.8
Lentils, green and brown, whole, dried, raw	350	62	1.5	26	23
Lentils, red, split, dried, raw	352	58.1	2.1	14.5	27
Lime juice, fresh	9	1.6	0.1		0.4
Mayonnaise, Hellman's	721	1.3	79	0	1.1
Milk, semi-skimmed, pasteurised, average	46	4.7	1.7	0	3.5
Milk, whole, pasteurised, average	63	4.6	3.6	0	3.4
Mint, fresh	43	5.3	0.7	N	3.8
Mixed curry spices	N	N	13.3	N	13.2
Mushrooms, white, raw	7	0.3	0.2	0.7	1
Mustard, wholegrain	176	9.4	10	N	6.9
Orange juice, freshly squeezed	33	8.1	Tr	N	0.6
Nutmeg, ground	N	N	36.3	20.8	5.8
Oil, coconut	899	0	99.9	0	Tr
Oil, olive	899	0	99.9	0	Tr
Oil, peanut (groundnut)	899	0	99.9	0	Tr
Oil, rapeseed	899	0	99.9	0	Tr
Oil, sesame	898	0	99.7	0	0.2
Oil, sunflower	899	0	99.9	0	Tr
Oil, vegetable, average	899	0	99.9	0	Tr
Olives, green, in brine, drained, flesh and skin	103	Tr	11	N	0.9
Onions, raw	35	8	0.1	2.2	1
Oregano, dried, ground	N	N	4.3	42.5	9.0
Parsnip, boiled in unsalted water	66	12.9	1.2	N	1.6
Paprika	N	N	12.9	34.9	14.1
Parsley, fresh	34	2.7	1.3	N	3
Pasta, egg, white, tagliatelle, fresh, boiled in unsalted water	152	30.6	1.6	2	5.8
Pasta, white, dried, raw	343	75.6	1.6	N	11.3
Pastry, filo, retail, cooked	363	77.1	3.8	4.5	10
Peanut butter, smooth	607	13.1	51.8	6.6	22.8
Peas, frozen, raw	68	10.7	0.7	5.3	5.3
Peas, mange-tout, raw	32	4.2	0.2	N	3.6
Peas, split, dried, raw	328	58.2	2.4		22.1
Peppers, capsicum, green, raw	15	2.6	0.3	N	0.8
Pepper, black	N	N	3.3	25.3	10.4
Pepper, capsicum, red, raw	21	4.3	0.2	2.2	0.8
Pepper, capsicum, yellow, raw	23	4.6	0.2	2.2	0.8
Pepper, cayenne, ground	318	31.7	17.3		12
Pepper, white	N	N	2.1	26.2	10.4
Peppers, capsicum, chilli, green, raw	20	0.7	0.6	N	2.9
Peppers, capsicum, chilli, red, raw	26	4.2	0.3		1.8
Pine nuts, kernel only	688	4	68.6	1.9	14
Pomegranate, flesh and pips	51	11.8	0.2	N	1.3
Pork, fillet, raw, lean and fat	147	0	6.5		22
Pork, loin chops, raw, lean and fat, weighed with bone	227	0	18.2		15.7
Porridge oats, unfortified	371	64	5.8	8.3	11
Prawns, king, raw	77	0.0	0.7	0.0	17.6
Potatoes, new and salad, flesh only, raw	68	16.1	0.1	1.8	1.7
Potatoes, old, raw, flesh only	82	19.6	0.1	2	1.9
Prunes, flesh and skin	226	50	0.4	7.7	1.8
Quinoa, raw	309	55.7	5.0	7.0	13.8
Pumpkin seeds	618	10.7	49.1	6	30.2
Radish, red, raw, flesh and skin	14	1.9	0.2	0.9	0.7
Rice, white, basmati, raw	351	83.7	0.5	1.1	8.1
Sage, fresh	119	15.6	4.6	""	3.9
Salmon, farmed, flesh only, raw	217	0	15	0.2	20.4
Buttermilk	58	8.8	0.1		5.5
Salt	0	0	0	0	0
Shallots, raw	20	3.3	0.2		1.5
Soy sauce, light and dark varieties	79	17.9	Tr	Tr	3.0
Spinach, baby, raw	16	0.2	0.6	1	2.6
Spinach, mature, raw	29	1.6	0.8	2.2	2.9
Spring onions, bulbs and tops, raw	23	3	0.5	N	2
Squash, butternut, raw	43	8.3	0.1	2	1.1
Stock cubes, vegetable	N	N	17.3	1.8	13.5
Stock, chicken, ready made, retail	12	0.2	0.2	0.3	2.3
Sugar, brown	380	101.3	0	0	0.1
Sugar, white	394	105	0	0	Tr
Sunflower seeds	615	3.8	53.8	10.1	23.8
Sweet potato, raw, flesh only	93	21.3	0.3	3	1.2
Sweetcorn, baby, fresh and frozen, boiled in unsalted water	24	2.7	0.4	N	2.5
Sweetcorn, kernels, 'on-the-cob', raw, weighed with core	36	4.8	1.1	N	2
Syrup, golden	298	79	0	0	0.3
Tahini paste, Waitrose	664	5.2	58.9	8.3	24.9
Tarragon, fresh	49	6.3	1.1		3.4
Thyme, fresh	95	15.1	2.5	12.3	3
Tomato puree	67	12.9	0.2	4.7	4.4
Tomatoes, canned, whole contents	19	3.8	0.1	0.8	1.1
Tomatoes, cherry, raw	22	3.6	0.5	1.3	1.1
Tomatoes, standard, raw	14	3	0.1	1	0.5
Tuna, canned in sunflower oil, drained	159	0	6.4	0	25.4
Turmeric, ground	N	N	7		6.7
Vinegar	22	0.6	0	0	0.4
Walnuts, kernel only	689	7	65.2	6.7	15.2
Watercress, raw	26	0.4	1	1.5	3
Wheat, bulgur, raw	352	77.8	2	6.7	10.6
Wine, red	76	0.2	0	0	0.1
Wine, white, dry	75	0.6	0	0	0.1
Wine, white, medium	75	3	0	0	0.1
Yogurt, Greek style, plain	133	4.8	10.2	0	5.7
Yogurt, low fat, plain	57	7.8	1	N	4.8
Tomato, sundried	175	19.9	6.3	9.7	4.8
Capers, in brine	34	3.5	0.6	2.7	2.4
Coconut chips, toasted	592	44	47	13	5
Cirio double concentrated tomato puree	95	16	0.4	5.4	4.1
Gnocchi di Patate, De Cecco	155	32	1	2.6	3.3
Psyllium husks	189	0.1	0.6	89	1.5
Chia seeds	431	6.2	53.8	35.5	18
Maple syrup	254	63	0.1	0.2	0
Nam Pla Fish Sauce	97	12.3	0.1	0	11.7
Soybeans, fresh or frozen	128	4.5	6.3	0	11
Cannellini beans in water	101	13.3	0.6	6.4	7.5
Za'atar	416	8.2	30.2	26.1	14.7
Cracked freekeh	352	72	3.1	17	15
Breadcrumbs	395	72	5.3	4.5	13.35
Tamarind paste	109	26.1	0	0.9	0.7
Coconut Flour	352	16	12	42	18
Chestnut puree, unsweetened	103	17	2.2	2.2	2.7
Chocolate, 70%, Green and Blacks	580	36	42	10	9.1
Almonds, raw	579	22	50	13	21
Brazil nuts, raw	659	12	67	7.5	14
Sunflower seeds	584	20	51	8.6	21
Pumpkin seeds	559	11	49	6	30
